Cell_type	Gene_symbol	Gene_chr	Gene_TSS	Gene_Case_pct	GGene_Control_pct	ene_sc_Log2FC	Gene_sc_p_val_adj	Gene_bulk_Log2FC	Gene_bulk_pval	Peak_chr	Peak_start	Peak_end	Peak_sc_log2FC	Peak_sc_p_val_adj	Peak_bulk_Log2FC	Peak_bulk_pval	ATAC_RNA_Bayesian_prob	TFs
CD4 TCM	THEM4	1	151909511	0.143000	0.225000	-0.101740	3.26838E-57	-0.585779	0.00428293	1	152399004	152399504	-2.046252	0.00096002	-1.484352	0.000713514	0.950993	KLF3(0.90), 
CD4 TCM	THRAP3	1	36224442	0.283000	0.377000	-0.102608	4.72614E-45	-0.320874	0.000474019	1	36420751	36421251	-0.449373	0.000529191	-0.755525	6.67353E-05	0.998818	ZNF350(1.00), PURA(0.98), ZNF148(0.96), 
CD4 TCM	TMBIM4	12	66170072	0.266000	0.425000	-0.196790	2.00069E-135	-0.729842	2.67621E-06	12	66237919	66238419	-0.341781	0.0140155	-0.301070	0.02619	0.977464	PATZ1(0.98), 
CD4 TCM	TMEM204	16	1528677	0.068000	0.147000	-0.100099	1.43726E-86	-1.114149	0.00306195	16	1183096	1183596	-0.740909	7.10679E-17	-0.590348	0.000216356	0.999994	SP2(0.92), SP1(0.90), ZNF148(0.90), PLAG1(0.85), 
CD4 TCM	TMEM204	16	1528677	0.068000	0.147000	-0.100099	1.43726E-86	-1.114149	0.00306195	16	1275285	1275785	2.863473	0.00128419	1.985239	0.00856168	0.996591	ARNT2(0.93), ZNF219(0.87), 
CD4 TCM	TMEM204	16	1528677	0.068000	0.147000	-0.100099	1.43726E-86	-1.114149	0.00306195	16	1330487	1330987	1.566974	0.000514545	1.848970	0.00375295	0.998367	KLF6(0.94), SP6(0.93), PLAG1(0.89), SP1(0.84), 
CD4 TCM	TMEM204	16	1528677	0.068000	0.147000	-0.100099	1.43726E-86	-1.114149	0.00306195	16	1357152	1357652	2.240953	1.84258E-06	2.279315	0.000112975	0.999711	KLF6(1.00), EGR1(1.00), SP1(0.98), ZNF148(0.95), PURA(0.91), PATZ1(0.88), 
CD4 TCM	TMEM204	16	1528677	0.068000	0.147000	-0.100099	1.43726E-86	-1.114149	0.00306195	16	1764620	1765120	-0.797790	0.0351989	-0.471579	0.0302492	0.972406	ZNF148(0.95), 
CD4 TCM	TNF	6	31575564	0.108000	0.041000	0.196620	1.50081E-98	1.870223	1.46409E-05	6	31087468	31087968	1.206998	0.00156659	1.646932	0.00327282	0.973591	PLAG1(0.97), 
CD4 TCM	TNF	6	31575564	0.108000	0.041000	0.196620	1.50081E-98	1.870223	1.46409E-05	6	31157487	31157987	1.463069	1.66175E-09	1.536958	0.0188409	0.96207	SP2(0.94), ZNF148(0.93), ARNT2(0.91), ZFY(0.87), HIC2(0.86), 
CD4 TCM	TNF	6	31575564	0.108000	0.041000	0.196620	1.50081E-98	1.870223	1.46409E-05	6	31663884	31664384	-1.147126	0.016416	-0.775828	0.0203856	0.963321	
CD4 TCM	TNF	6	31575564	0.108000	0.041000	0.196620	1.50081E-98	1.870223	1.46409E-05	6	31664778	31665278	-1.646653	0.00214816	-1.112176	0.00508623	0.991142	EGR1(0.86), 
CD4 TCM	TNF	6	31575564	0.108000	0.041000	0.196620	1.50081E-98	1.870223	1.46409E-05	6	31861689	31862189	1.467961	0.0127207	1.417726	3.8534E-08	0.965374	PLAG1(0.83), 
CD4 TCM	TNFAIP3	6	137867258	0.614000	0.465000	0.459841	1.41099E-212	1.656686	0.000801127	6	137498064	137498564	-2.021693	0.0397036	-1.370808	0.0257339	0.999402	SP1(0.99), EGR1(0.98), KLF3(0.98), PLAG1(0.95), ZNF281(0.89), ZNF148(0.81), 
CD4 TCM	TNFAIP3	6	137867258	0.614000	0.465000	0.459841	1.41099E-212	1.656686	0.000801127	6	137699135	137699635	0.724941	3.67932E-08	0.697994	0.00108582	1	
CD4 TCM	TNFAIP3	6	137867258	0.614000	0.465000	0.459841	1.41099E-212	1.656686	0.000801127	6	137717331	137717831	-1.114859	0.0110966	-1.612386	0.01439	0.999699	
CD4 TCM	TNFAIP3	6	137867258	0.614000	0.465000	0.459841	1.41099E-212	1.656686	0.000801127	6	137762417	137762917	0.580861	0.0103732	1.167302	0.0213731	0.98952	
CD4 TCM	TNFAIP3	6	137867258	0.614000	0.465000	0.459841	1.41099E-212	1.656686	0.000801127	6	137769183	137769683	2.073024	0.0190515	1.448576	0.0143915	0.99376	
CD4 TCM	TNFAIP3	6	137867258	0.614000	0.465000	0.459841	1.41099E-212	1.656686	0.000801127	6	137827799	137828299	2.093816	0.00638671	2.368559	1.75349E-05	0.984425	SP1(1.00), ZNF148(0.98), ZNF281(0.84), 
CD4 TCM	TNFAIP8	5	119268758	0.404000	0.575000	-0.213040	9.40107E-134	-0.757514	1.85695E-05	5	119019458	119019958	0.658441	0.002321	0.661042	0.000623449	0.960363	
CD4 TCM	TNFAIP8	5	119268758	0.404000	0.575000	-0.213040	9.40107E-134	-0.757514	1.85695E-05	5	119036038	119036538	2.134968	0.000290814	2.002271	0.00169983	0.994421	ZNF350(0.95), 
CD4 TCM	TNFAIP8	5	119268758	0.404000	0.575000	-0.213040	9.40107E-134	-0.757514	1.85695E-05	5	119049699	119050199	2.206033	6.52063E-08	2.195221	0.00406855	0.994195	
CD4 TCM	TNFAIP8	5	119268758	0.404000	0.575000	-0.213040	9.40107E-134	-0.757514	1.85695E-05	5	119345733	119346233	1.206858	0.000379243	0.837989	0.0259655	0.985021	
CD4 TCM	TNFAIP8	5	119268758	0.404000	0.575000	-0.213040	9.40107E-134	-0.757514	1.85695E-05	5	119363944	119364444	1.298632	3.7323E-06	0.592123	0.0281496	0.999531	
CD4 TCM	TNFAIP8	5	119268758	0.404000	0.575000	-0.213040	9.40107E-134	-0.757514	1.85695E-05	5	119368286	119368786	1.440818	0.00192636	1.681716	0.00145544	0.989334	KLF3(0.86), 
CD4 TCM	TNFAIP8	5	119268758	0.404000	0.575000	-0.213040	9.40107E-134	-0.757514	1.85695E-05	5	119369449	119369949	0.725242	3.56127E-07	0.835301	0.0125284	1	
CD4 TCM	TNFAIP8	5	119268758	0.404000	0.575000	-0.213040	9.40107E-134	-0.757514	1.85695E-05	5	119372446	119372946	1.148362	0.0477491	0.605963	0.0261807	0.999999	PURA(0.94), 
CD4 TCM	TNRC6B	22	40044816	0.382000	0.500000	-0.163533	6.82364E-67	-0.251637	0.0132635	22	39936506	39937006	1.127930	2.16413E-12	0.902858	7.89855E-05	0.981564	PATZ1(1.00), ZNF740(0.92), 
CD4 TCM	TNRC6B	22	40044816	0.382000	0.500000	-0.163533	6.82364E-67	-0.251637	0.0132635	22	39937024	39937524	1.045724	1.46236E-24	1.056848	0.000548862	0.983723	PURA(0.97), 
CD4 TCM	TNRC6B	22	40044816	0.382000	0.500000	-0.163533	6.82364E-67	-0.251637	0.0132635	22	39950297	39950797	0.959984	0.00131398	1.061544	0.00488009	0.993749	SP1(1.00), ZNF148(0.91), 
CD4 TCM	TNRC6B	22	40044816	0.382000	0.500000	-0.163533	6.82364E-67	-0.251637	0.0132635	22	40176384	40176884	1.038827	2.31313E-05	1.363023	3.12437E-06	0.975699	
CD4 TCM	TNRC6B	22	40044816	0.382000	0.500000	-0.163533	6.82364E-67	-0.251637	0.0132635	22	40214558	40215058	2.269689	0.00323307	1.887534	0.000622586	0.997187	PLAG1(0.98), KLF3(0.97), SP6(0.85), 
CD4 TCM	TOB1	17	50867978	0.418000	0.330000	0.242047	9.5324E-74	0.794444	0.000180216	17	50985921	50986421	-1.911499	0.0132795	-1.596022	0.0185359	0.990551	
CD4 TCM	TRA2B	3	185938014	0.492000	0.469000	0.137470	1.10056E-19	0.479783	0.000628224	3	185908189	185908689	1.138338	1.61274E-16	1.211004	0.000313351	0.996207	ARNT2(0.93), 
CD4 TCM	TRA2B	3	185938014	0.492000	0.469000	0.137470	1.10056E-19	0.479783	0.000628224	3	185959480	185959980	1.369973	7.07493E-18	1.317673	6.67987E-07	0.999945	PLAG1(0.99), 
CD4 TCM	TRA2B	3	185938014	0.492000	0.469000	0.137470	1.10056E-19	0.479783	0.000628224	3	186141804	186142304	0.392878	0.000553591	0.310875	0.0192996	0.95612	KLF3(0.99), PURA(0.96), PATZ1(0.92), 
CD4 TCM	TRA2B	3	185938014	0.492000	0.469000	0.137470	1.10056E-19	0.479783	0.000628224	3	186343141	186343641	1.304798	0.00188679	2.275537	3.77566E-05	0.995324	
CD4 TCM	TRABD2A	2	84881084	0.174000	0.273000	-0.139971	6.18459E-75	-0.532636	0.000756966	2	84819603	84820103	-0.733914	2.76386E-08	-0.907542	0.00100042	0.987571	ZNF148(0.91), KLF15(0.81), 
CD4 TCM	TRABD2A	2	84881084	0.174000	0.273000	-0.139971	6.18459E-75	-0.532636	0.000756966	2	85298694	85299194	-0.526261	4.32109E-07	-0.352021	0.0186549	0.999677	PURA(0.91), 
CD4 TCM	TRAT1	3	108822785	0.280000	0.380000	-0.108774	7.95388E-49	-0.616737	0.00340396	3	108722392	108722892	0.605929	2.0048E-08	0.554736	3.0591E-05	0.999955	ZNF350(1.00), ZNF740(0.94), 
CD4 TCM	TRAT1	3	108822785	0.280000	0.380000	-0.108774	7.95388E-49	-0.616737	0.00340396	3	108743851	108744351	0.959301	0.00646728	0.954134	0.0052481	0.989636	PURA(0.97), 
CD4 TCM	TRAT1	3	108822785	0.280000	0.380000	-0.108774	7.95388E-49	-0.616737	0.00340396	3	108821149	108821649	0.951293	0.000150957	0.836020	0.000483688	0.98029	
CD4 TCM	TRIM38	6	25962801	0.130000	0.222000	-0.118481	5.49546E-76	-0.719231	1.22051E-07	6	26160224	26160724	1.058534	0.0484294	1.559479	0.00486627	0.959398	SP6(0.96), 
CD4 TCM	TSC22D3	23	107775988	0.944000	0.849000	0.513186	0	0.852741	0.000140827	23	107450210	107450710	-2.300579	0.00866826	-1.076434	0.0424919	0.99417	SP1(0.98), ZNF148(0.90), 
CD4 TCM	TSC22D3	23	107775988	0.944000	0.849000	0.513186	0	0.852741	0.000140827	23	107675052	107675552	0.879896	0.0471051	1.058269	0.00021578	0.998826	
CD4 TCM	TSC22D3	23	107775988	0.944000	0.849000	0.513186	0	0.852741	0.000140827	23	108026221	108026721	1.762527	0.00536229	1.658314	0.0233	0.967282	
CD4 TCM	TSC22D4	7	100479214	0.179000	0.297000	-0.130439	7.58416E-93	-0.812132	0.000210927	7	100016440	100016940	-0.469547	0.000458673	-0.612859	0.000192479	0.998158	
CD4 TCM	TSC22D4	7	100479214	0.179000	0.297000	-0.130439	7.58416E-93	-0.812132	0.000210927	7	100373183	100373683	1.523869	4.35761E-20	1.236966	0.00129292	0.999933	KLF6(1.00), SP1(1.00), PLAG1(0.99), ZNF740(0.98), PATZ1(0.98), SP4(0.98), KLF16(0.97), PURA(0.95), SP6(0.92), SP3(0.86), 
CD4 TCM	TSC22D4	7	100479214	0.179000	0.297000	-0.130439	7.58416E-93	-0.812132	0.000210927	7	100396575	100397075	0.348651	0.0435395	0.397513	0.000550052	0.992704	
CD4 TCM	TSC22D4	7	100479214	0.179000	0.297000	-0.130439	7.58416E-93	-0.812132	0.000210927	7	100407492	100407992	0.874575	0.00154962	1.174356	0.0293812	0.995532	SP6(0.93), 
CD4 TCM	TSC22D4	7	100479214	0.179000	0.297000	-0.130439	7.58416E-93	-0.812132	0.000210927	7	100464305	100464805	1.045962	0.000902435	1.380149	0.00884603	0.997557	SP4(0.82), 
CD4 TCM	TSC22D4	7	100479214	0.179000	0.297000	-0.130439	7.58416E-93	-0.812132	0.000210927	7	100479009	100479509	1.593190	0.00440118	1.668428	0.000105111	0.983287	EGR1(1.00), SP1(0.99), KLF6(0.99), KLF16(0.97), ZNF148(0.97), PLAG1(0.92), SP4(0.82), 
CD4 TCM	TSC22D4	7	100479214	0.179000	0.297000	-0.130439	7.58416E-93	-0.812132	0.000210927	7	100483178	100483678	1.117548	0.00354315	2.038317	0.00108621	0.999956	PATZ1(1.00), KLF6(1.00), PLAG1(0.99), EGR1(0.99), SP6(0.89), SP3(0.84), 
CD4 TCM	TSC22D4	7	100479214	0.179000	0.297000	-0.130439	7.58416E-93	-0.812132	0.000210927	7	100486034	100486534	0.473518	0.00156328	0.465696	0.000419378	0.999902	PATZ1(1.00), KLF6(1.00), EGR1(0.99), ZNF350(0.97), ARNT2(0.95), PURA(0.91), 
CD4 TCM	TSC22D4	7	100479214	0.179000	0.297000	-0.130439	7.58416E-93	-0.812132	0.000210927	7	100578922	100579422	-0.569052	3.50126E-06	-0.457553	0.00958264	0.990335	SP6(0.98), PLAG1(0.93), ZNF350(0.88), 
CD4 TCM	TTC14	3	180602162	0.216000	0.307000	-0.108756	2.42558E-51	-0.469714	0.000118199	3	180913181	180913681	-0.845123	1.72183E-08	-1.067346	0.000703565	0.977383	SP4(0.92), 
CD4 TCM	TUBA1A	12	49189324	0.636000	0.459000	0.566165	0	1.088839	2.16417E-07	12	49039229	49039729	-0.363319	0.0255123	-0.793881	0.00111001	0.998773	PLAGL1(0.98), SP4(0.82), 
CD4 TCM	TUBA1A	12	49189324	0.636000	0.459000	0.566165	0	1.088839	2.16417E-07	12	49279614	49280114	-1.587146	0.022878	-1.860719	0.00300196	0.993827	ARNT2(1.00), ZFY(0.93), 
CD4 TCM	TUBA1B	12	49131395	0.433000	0.422000	0.118700	7.58479E-08	0.299594	0.000737728	12	48814552	48815052	-1.440933	0.00129561	-0.836502	0.00789759	0.963912	
CD4 TCM	TUBA1B	12	49131395	0.433000	0.422000	0.118700	7.58479E-08	0.299594	0.000737728	12	49279614	49280114	-1.587146	0.022878	-1.860719	0.00300196	0.989157	ARNT2(1.00), ZFY(0.93), 
CD4 TCM	TUBB4B	9	137241286	0.464000	0.218000	0.577183	0	1.564753	2.03487E-12	9	137004182	137004682	-1.131419	4.39738E-07	-1.484693	0.0124726	0.970313	ZFY(0.85), 
CD4 TCM	TUBB4B	9	137241286	0.464000	0.218000	0.577183	0	1.564753	2.03487E-12	9	137411613	137412113	0.225860	0.0290932	0.334962	0.0226874	0.985847	EGR1(1.00), SP3(0.94), 
CD4 TCM	TUBB4B	9	137241286	0.464000	0.218000	0.577183	0	1.564753	2.03487E-12	9	137457581	137458081	1.307530	0.00920587	0.965180	0.0110405	0.999003	PLAGL1(0.99), KLF6(0.89), TFAP2C(0.87), HIC2(0.85), 
CD4 TCM	UBALD2	17	76265347	0.549000	0.482000	0.374638	1.16828E-128	1.028834	1.94105E-07	17	75825061	75825561	0.693707	9.20201E-06	0.682153	0.0229881	0.980705	PLAGL1(1.00), SP1(0.99), ZNF350(0.99), PATZ1(0.89), KLF6(0.83), PLAG1(0.81), 
CD4 TCM	UBALD2	17	76265347	0.549000	0.482000	0.374638	1.16828E-128	1.028834	1.94105E-07	17	75826469	75826969	0.465402	0.0147351	0.275965	0.00694275	0.992823	SP1(0.99), ARNT2(0.95), PURA(0.93), ZNF148(0.87), 
CD4 TCM	UBB	17	16380792	0.906000	0.810000	0.361014	2.4716E-255	0.357343	3.17922E-05	17	15917411	15917911	-2.289514	0.00300777	-1.345633	0.0109981	0.968151	ZNF350(0.96), ZNF148(0.95), EGR1(0.93), SP1(0.93), HIC2(0.90), 
CD4 TCM	UBC	12	124914650	0.997000	0.986000	0.492605	0	0.538316	9.51684E-06	12	124512616	124513116	-1.558076	0.00127423	-0.566678	0.00510346	0.999713	KLF16(0.97), PLAG1(0.93), 
CD4 TCM	UBC	12	124914650	0.997000	0.986000	0.492605	0	0.538316	9.51684E-06	12	124573719	124574219	-1.141803	0.0233624	-1.515711	0.0343167	0.98791	ZNF350(1.00), KLF6(0.94), PLAGL1(0.83), 
CD4 TCM	UBC	12	124914650	0.997000	0.986000	0.492605	0	0.538316	9.51684E-06	12	124681314	124681814	-0.911691	2.23629E-09	-1.267229	3.16849E-05	0.980503	KLF6(1.00), SP1(0.93), PURA(0.90), 
CD4 TCM	UBE2Q1	1	154558662	0.091000	0.172000	-0.102234	1.24599E-75	-0.761636	0.000197714	1	154154781	154155281	4.088496	0.0209378	1.844844	3.5518E-11	0.987421	E2F6(0.94), PURA(0.93), HIC2(0.91), PLAG1(0.91), ZNF148(0.81), 
CD4 TCM	UBE2Q1	1	154558662	0.091000	0.172000	-0.102234	1.24599E-75	-0.761636	0.000197714	1	154342815	154343315	-0.534500	0.00152042	-0.428627	0.0256177	0.994799	SP1(0.94), SP6(0.88), 
CD4 TCM	UBE2Q1	1	154558662	0.091000	0.172000	-0.102234	1.24599E-75	-0.761636	0.000197714	1	154784913	154785413	-0.942147	0.000591236	-1.117673	0.0382252	0.999403	
CD4 TCM	UBE2S	19	55407788	0.311000	0.179000	0.291196	1.4192E-168	1.465207	4.77396E-07	19	55086938	55087438	-0.420500	0.00722239	-0.587093	0.000547292	0.966085	SP6(0.99), PATZ1(0.93), PURA(0.92), SP1(0.81), 
CD4 TCM	UBE2S	19	55407788	0.311000	0.179000	0.291196	1.4192E-168	1.465207	4.77396E-07	19	55173981	55174481	-2.050333	8.26643E-05	-1.779052	0.000221375	0.999049	ZNF148(0.99), SP4(0.98), SP1(0.97), KLF6(0.94), SP6(0.90), KLF3(0.84), ZNF219(0.84), ZNF740(0.81), 
CD4 TCM	UBE2S	19	55407788	0.311000	0.179000	0.291196	1.4192E-168	1.465207	4.77396E-07	19	55680373	55680873	-1.418603	0.0105873	-1.278763	0.0397656	0.997462	ZNF148(0.98), PLAG1(0.93), KLF2(0.90), 
CD4 TCM	UCP2	11	73982844	0.385000	0.533000	-0.219862	6.63432E-109	-0.654172	0.000229496	11	73633949	73634449	-0.360145	0.00221978	-0.454970	0.00208079	0.973767	SP1(0.99), 
CD4 TCM	ZBTB20	3	115147288	0.213000	0.308000	-0.123965	7.4214E-57	-0.269878	0.0208036	3	115146504	115147004	2.856433	0.0441401	1.725974	0.0031493	0.995846	KLF6(1.00), EGR1(0.96), ARNT2(0.93), ZNF148(0.88), SP6(0.88), 
CD4 TCM	ZFP36	19	39406846	0.483000	0.376000	0.382029	2.6559E-118	1.520151	0.000304602	19	39419997	39420497	0.962638	0.0076701	1.400200	0.0156508	0.970306	
CD4 TCM	ZNF207	17	32350137	0.268000	0.361000	-0.112602	8.17582E-47	-0.301958	0.000346548	17	32006518	32007018	1.020748	1.57216E-15	0.958239	0.0118108	0.952368	KLF6(1.00), SP1(0.97), PATZ1(0.97), KLF16(0.86), 
CD4 TCM	ZNF207	17	32350137	0.268000	0.361000	-0.112602	8.17582E-47	-0.301958	0.000346548	17	32007066	32007566	1.193334	1.94121E-10	1.403795	0.0113005	0.977478	KLF6(1.00), PATZ1(0.99), ZNF350(0.99), EGR1(0.98), PLAGL1(0.97), SP1(0.96), PURA(0.94), ZNF148(0.90), SP2(0.86), 
CD4 TCM	ZNF207	17	32350137	0.268000	0.361000	-0.112602	8.17582E-47	-0.301958	0.000346548	17	32016271	32016771	1.753487	0.0132639	1.909348	3.03221E-12	0.999314	
CD4 TCM	ZNF331	19	53521013	0.340000	0.280000	0.127293	1.43739E-28	1.409749	0.0127537	19	53559640	53560140	0.967843	8.58612E-09	0.860671	0.025531	0.98109	
CD4 TCM	ZNF331	19	53521013	0.340000	0.280000	0.127293	1.43739E-28	1.409749	0.0127537	19	53560406	53560906	0.996357	4.14764E-08	1.007074	0.00669837	0.998593	EGR1(0.92), 
